 | S: 13.78 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 444.61 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 444.68 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 444.75 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 444.82 | T: 1.100 | N: 4.17 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 444.88 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 444.95 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 445.02 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 445.09 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 445.16 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 445.23 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 445.30 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 445.36 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 445.43 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 445.50 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 445.57 | T: 1.100 | N: 4.18 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 445.64 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 445.71 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 445.78 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 445.84 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 445.91 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 445.98 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 446.05 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 446.12 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 446.19 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 446.26 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 446.32 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 446.39 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 446.46 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.95 5.00 
 | S: 446.53 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 446.60 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 446.67 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 446.74 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 446.81 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 446.87 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 446.94 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 447.01 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 447.08 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.00 3.95 5.00 
 | S: 447.15 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 447.22 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 447.29 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 447.36 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 447.42 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 447.49 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 447.56 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 447.63 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 447.70 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 447.77 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 447.84 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.02 3.95 5.00 
 | S: 447.90 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 447.97 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.97 5.00 
 | S: 448.04 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 448.11 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 448.18 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.95 4.98 
 | S: 448.25 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 448.32 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 448.38 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 448.45 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 448.52 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.00 3.95 5.00 
 | S: 448.59 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 448.66 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 448.73 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 448.80 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 448.86 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 448.93 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 449.00 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 449.07 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 449.14 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 449.21 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 449.28 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 449.35 | T: 1.100 | N: 4.18 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 449.41 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 449.48 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 449.55 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.95 5.00 
 | S: 449.62 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 449.69 | T: 1.100 | N: 4.19 | P: 4.05 | A: 4.02 3.96 5.00 
 | S: 449.76 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 449.83 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 449.89 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 449.96 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 450.03 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 450.10 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 450.17 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 450.24 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 450.31 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 450.37 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 450.44 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 450.51 | T: 1.100 | N: 4.18 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 450.58 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 450.65 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 4.99 
 | S: 450.72 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.95 5.00 
 | S: 450.79 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 450.86 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 450.92 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 450.99 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 451.06 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 451.13 | T: 1.100 | N: 4.18 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 451.20 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 451.27 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 451.34 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.00 3.95 5.00 
 | S: 451.40 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 451.47 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.95 5.00 
 | S: 451.54 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 451.61 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 451.68 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 4.98 
 | S: 451.75 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 451.82 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 451.89 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 451.95 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 452.02 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 452.09 | T: 1.100 | N: 4.18 | P: 4.07 | A: 4.02 3.95 4.99 
 | S: 452.16 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 452.23 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 452.30 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 452.37 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 452.43 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 452.50 | T: 1.100 | N: 4.18 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 452.57 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 452.64 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 452.71 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 452.78 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 452.85 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 452.91 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 452.98 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 4.98 
 | S: 453.05 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 453.12 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 453.19 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 453.26 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 453.33 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 453.40 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 453.46 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 453.53 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 453.60 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 453.67 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 453.74 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 453.81 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 453.88 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.00 3.94 5.00 
 | S: 453.94 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 454.01 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 454.08 | T: 1.100 | N: 4.18 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 454.15 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.95 5.00 
 | S: 454.22 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 454.29 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 4.98 
 | S: 454.36 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 454.42 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 454.49 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 454.56 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 454.63 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 454.70 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 454.77 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 454.84 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 454.90 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 454.97 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 455.04 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 455.11 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 455.18 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 455.25 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 455.32 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 455.39 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 455.45 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 455.52 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 455.59 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 455.66 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 455.73 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 4.99 
 | S: 455.80 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 455.87 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 455.94 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 456.00 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 456.07 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 456.14 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 456.21 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 456.28 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 456.35 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.94 5.00 
 | S: 456.42 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 456.48 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 456.55 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 4.99 
 | S: 456.62 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 456.69 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 456.76 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 456.83 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 456.90 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.95 5.00 
 | S: 456.96 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 457.03 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 457.10 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 457.17 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 457.24 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 457.31 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 457.38 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 457.44 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 457.51 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 457.58 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 457.65 | T: 1.100 | N: 4.20 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 457.72 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 457.79 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 457.86 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 457.93 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 457.99 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 458.06 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 458.13 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 458.20 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 458.27 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 458.34 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 458.41 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 458.47 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 458.54 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 458.61 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 458.68 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 458.75 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 458.82 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 458.89 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 4.99 
 | S: 458.95 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 459.02 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 459.09 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 459.16 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 459.23 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 4.99 
 | S: 459.30 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.02 3.95 5.00 
 | S: 459.37 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 459.44 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 459.50 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 459.57 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 459.64 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.97 5.00 
 | S: 459.71 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 459.78 | T: 1.100 | N: 4.22 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 459.85 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 4.99 
 | S: 459.92 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 459.99 | T: 1.100 | N: 4.22 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 460.05 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 460.12 | T: 1.100 | N: 4.19 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 460.19 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 460.26 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 460.33 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 460.40 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 460.47 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 460.53 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 460.60 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 460.67 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 460.74 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 460.81 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 460.88 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 460.95 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.95 4.99 
 | S: 461.01 | T: 1.100 | N: 4.20 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 461.08 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 461.15 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 461.22 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 461.29 | T: 1.100 | N: 4.21 | P: 4.05 | A: 4.01 3.95 5.00 
 | S: 461.36 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 461.43 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 461.49 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 461.56 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 461.63 | T: 1.100 | N: 4.19 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 461.70 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 461.77 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 461.84 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.02 3.96 4.99 
 | S: 461.91 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 461.97 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 462.04 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 462.11 | T: 1.100 | N: 4.22 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 462.18 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 462.25 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 462.32 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 462.39 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 462.46 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 462.52 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 462.59 | T: 1.100 | N: 4.22 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 462.66 | T: 1.100 | N: 4.21 | P: 4.05 | A: 4.02 3.96 5.00 
 | S: 462.73 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 462.80 | T: 1.100 | N: 4.22 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 462.87 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.95 5.00 
 | S: 462.94 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.02 3.96 4.98 
 | S: 463.00 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 463.07 | T: 1.100 | N: 4.22 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 463.14 | T: 1.100 | N: 4.22 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 463.21 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 463.28 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.02 3.96 5.00 
 | S: 463.35 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 463.42 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.01 3.96 5.00 
 | S: 463.49 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 463.55 | T: 1.100 | N: 4.21 | P: 4.06 | A: 4.01 3.96 5.00 
 | S: 463.62 | T: 1.100 | N: 4.21 | P: 4.07 | A: 4.02 3.96 5.00 
 | S: 463.69 | T: 1.100 | N: 4.22 | P: 4.06 | A: 4.01 3.95 5.00 
